#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q9BSY9	uniprotkb:Q9NS98	intact:EBI-12878374|uniprotkb:B1APK6|uniprotkb:Q5VVC6|uniprotkb:Q9NYS2|uniprotkb:Q9Y3E4	intact:EBI-17574989|uniprotkb:Q7L9D9|uniprotkb:Q9H7Q3	psi-mi:desi2_human(display_long)|uniprotkb:Desumoylating isopeptidase 2(gene name synonym)|uniprotkb:DESI2(gene name)|psi-mi:DESI2(display_short)|uniprotkb:C1orf121(gene name synonym)|uniprotkb:FAM152A(gene name synonym)|uniprotkb:PPPDE peptidase domain-containing protein 1(gene name synonym)|uniprotkb:PPPDE1(gene name synonym)|uniprotkb:Protein FAM152A(gene name synonym)|uniprotkb:CGI-146(orf name)|uniprotkb:PNAS-4(orf name)	psi-mi:sem3g_human(display_long)|uniprotkb:Semaphorin sem2(gene name synonym)|uniprotkb:SEMA3G(gene name)|psi-mi:SEMA3G(display_short)	psi-mi:"MI:1112"(two hybrid prey pooling approach)	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25183726|imex:IM-25472-84356	author score:0.704190821313|intact-miscore:0.56
uniprotkb:Q8N6Y0	uniprotkb:Q9C0C4	intact:EBI-739895|uniprotkb:Q8NBX7|uniprotkb:Q96KH3|uniprotkb:Q9BYI8|uniprotkb:A8K7L6|uniprotkb:B2RCR9	intact:EBI-10303490|uniprotkb:Q32MJ3|uniprotkb:Q7Z5X0	psi-mi:usbp1_human(display_long)|uniprotkb:AIEBP(gene name synonym)|uniprotkb:MCC2(gene name synonym)|uniprotkb:Mutated in colon cancer protein 2(gene name synonym)|uniprotkb:USHBP1(gene name)|psi-mi:USHBP1(display_short)|uniprotkb:MCC-2(gene name synonym)|uniprotkb:AIE-75-binding protein(gene name synonym)	psi-mi:sem4c_human(display_long)|uniprotkb:SEMA4C(gene name)|psi-mi:SEMA4C(display_short)|uniprotkb:KIAA1739(gene name synonym)|uniprotkb:SEMAI(gene name synonym)|uniprotkb:UNQ5855/PRO34487(orf name)	psi-mi:"MI:1112"(two hybrid prey pooling approach)	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-22372354|imex:IM-25472-3376	author score:0.875802987667|intact-miscore:0.56
uniprotkb:O75031	uniprotkb:Q9C0C4	intact:EBI-7116203|intact:MINT-8247411|uniprotkb:B4DX36	intact:EBI-10303490|uniprotkb:Q32MJ3|uniprotkb:Q7Z5X0	psi-mi:hsf2b_human(display_long)|uniprotkb:HSF2BP(gene name)|psi-mi:HSF2BP(display_short)	psi-mi:sem4c_human(display_long)|uniprotkb:SEMA4C(gene name)|psi-mi:SEMA4C(display_short)|uniprotkb:KIAA1739(gene name synonym)|uniprotkb:SEMAI(gene name synonym)|uniprotkb:UNQ5855/PRO34487(orf name)	psi-mi:"MI:1356"(validated two hybrid)	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-24382946|imex:IM-25472-121902	intact-miscore:0.56
uniprotkb:Q5JX71	uniprotkb:Q1RMY5	intact:EBI-18304435|uniprotkb:Q05C43	intact:EBI-18310377	psi-mi:f209a_human(display_long)|uniprotkb:FAM209A(gene name)|psi-mi:FAM209A(display_short)|uniprotkb:C20orf106(gene name synonym)	psi-mi:q1rmy5_human(display_long)|uniprotkb:SEMA6C(gene name)|psi-mi:SEMA6C(display_short)	psi-mi:"MI:0397"(two hybrid array)	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-24048652|imex:IM-25472-97953	author score:0.617825130957|intact-miscore:0.56
uniprotkb:Q9BSY9	uniprotkb:Q9NS98	intact:EBI-12878374|uniprotkb:B1APK6|uniprotkb:Q5VVC6|uniprotkb:Q9NYS2|uniprotkb:Q9Y3E4	intact:EBI-17574989|uniprotkb:Q7L9D9|uniprotkb:Q9H7Q3	psi-mi:desi2_human(display_long)|uniprotkb:Desumoylating isopeptidase 2(gene name synonym)|uniprotkb:DESI2(gene name)|psi-mi:DESI2(display_short)|uniprotkb:C1orf121(gene name synonym)|uniprotkb:FAM152A(gene name synonym)|uniprotkb:PPPDE peptidase domain-containing protein 1(gene name synonym)|uniprotkb:PPPDE1(gene name synonym)|uniprotkb:Protein FAM152A(gene name synonym)|uniprotkb:CGI-146(orf name)|uniprotkb:PNAS-4(orf name)	psi-mi:sem3g_human(display_long)|uniprotkb:Semaphorin sem2(gene name synonym)|uniprotkb:SEMA3G(gene name)|psi-mi:SEMA3G(display_short)	psi-mi:"MI:0397"(two hybrid array)	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-24132731|imex:IM-25472-102623	author score:0.704190821313|intact-miscore:0.56
uniprotkb:Q5JX71	uniprotkb:Q1RMY5	intact:EBI-18304435|uniprotkb:Q05C43	intact:EBI-18310377	psi-mi:f209a_human(display_long)|uniprotkb:FAM209A(gene name)|psi-mi:FAM209A(display_short)|uniprotkb:C20orf106(gene name synonym)	psi-mi:q1rmy5_human(display_long)|uniprotkb:SEMA6C(gene name)|psi-mi:SEMA6C(display_short)	psi-mi:"MI:1112"(two hybrid prey pooling approach)	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-23756200|imex:IM-25472-79686	author score:0.617825130957|intact-miscore:0.56
uniprotkb:Q15323	uniprotkb:Q9C0C4	intact:EBI-948001|uniprotkb:Q9UE12	intact:EBI-10303490|uniprotkb:Q32MJ3|uniprotkb:Q7Z5X0	psi-mi:k1h1_human(display_long)|uniprotkb:KRTHA1(gene name synonym)|uniprotkb:Hair keratin, type I Ha1(gene name synonym)|uniprotkb:Keratin-31(gene name synonym)|uniprotkb:KRT31(gene name)|psi-mi:KRT31(display_short)|uniprotkb:HHA1(gene name synonym)|uniprotkb:HKA1(gene name synonym)	psi-mi:sem4c_human(display_long)|uniprotkb:SEMA4C(gene name)|psi-mi:SEMA4C(display_short)|uniprotkb:KIAA1739(gene name synonym)|uniprotkb:SEMAI(gene name synonym)|uniprotkb:UNQ5855/PRO34487(orf name)	psi-mi:"MI:1112"(two hybrid prey pooling approach)	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-24945497|imex:IM-25472-17023	author score:0.8927531121|intact-miscore:0.72
uniprotkb:Q8ND90	uniprotkb:Q9C0C4	intact:EBI-302345|uniprotkb:A8K4L5|uniprotkb:O95144|uniprotkb:Q8NG07	intact:EBI-10303490|uniprotkb:Q32MJ3|uniprotkb:Q7Z5X0	psi-mi:pnma1_human(display_long)|uniprotkb:PNMA1(gene name)|psi-mi:PNMA1(display_short)|uniprotkb:MA1(gene name synonym)|uniprotkb:Neuron- and testis-specific protein 1(gene name synonym)|uniprotkb:37 kDa neuronal protein(gene name synonym)	psi-mi:sem4c_human(display_long)|uniprotkb:SEMA4C(gene name)|psi-mi:SEMA4C(display_short)|uniprotkb:KIAA1739(gene name synonym)|uniprotkb:SEMAI(gene name synonym)|uniprotkb:UNQ5855/PRO34487(orf name)	psi-mi:"MI:1112"(two hybrid prey pooling approach)	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-24918074|imex:IM-25472-15531	author score:0.86063979415|intact-miscore:0.72
uniprotkb:P08779	uniprotkb:Q9C0C4	intact:EBI-356410|uniprotkb:A8K488|uniprotkb:P30654|uniprotkb:Q16402|uniprotkb:Q9UBG8	intact:EBI-10303490|uniprotkb:Q32MJ3|uniprotkb:Q7Z5X0	psi-mi:k1c16_human(display_long)|uniprotkb:Cytokeratin-16(gene name synonym)|uniprotkb:KRT16(gene name)|psi-mi:KRT16(display_short)|uniprotkb:KRT16A(gene name synonym)|uniprotkb:Keratin-16(gene name synonym)	psi-mi:sem4c_human(display_long)|uniprotkb:SEMA4C(gene name)|psi-mi:SEMA4C(display_short)|uniprotkb:KIAA1739(gene name synonym)|uniprotkb:SEMAI(gene name synonym)|uniprotkb:UNQ5855/PRO34487(orf name)	psi-mi:"MI:1112"(two hybrid prey pooling approach)	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-24994694|imex:IM-25472-19701	author score:0.868089620182|intact-miscore:0.56
uniprotkb:O75031	uniprotkb:Q9C0C4	intact:EBI-7116203|intact:MINT-8247411|uniprotkb:B4DX36	intact:EBI-10303490|uniprotkb:Q32MJ3|uniprotkb:Q7Z5X0	psi-mi:hsf2b_human(display_long)|uniprotkb:HSF2BP(gene name)|psi-mi:HSF2BP(display_short)	psi-mi:sem4c_human(display_long)|uniprotkb:SEMA4C(gene name)|psi-mi:SEMA4C(display_short)|uniprotkb:KIAA1739(gene name synonym)|uniprotkb:SEMAI(gene name synonym)|uniprotkb:UNQ5855/PRO34487(orf name)	psi-mi:"MI:0397"(two hybrid array)	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-22971845|imex:IM-25472-36121	author score:0.905255365417|intact-miscore:0.56
uniprotkb:Q7Z3Y8	uniprotkb:Q9C0C4	intact:EBI-3044087	intact:EBI-10303490|uniprotkb:Q32MJ3|uniprotkb:Q7Z5X0	psi-mi:k1c27_human(display_long)|uniprotkb:KRT27(gene name)|psi-mi:KRT27(display_short)|uniprotkb:KRT25C(gene name synonym)|uniprotkb:Cytokeratin-27(gene name synonym)|uniprotkb:Keratin-25C(gene name synonym)|uniprotkb:Keratin-27(gene name synonym)|uniprotkb:Type I inner root sheath-specific keratin-K25irs3(gene name synonym)	psi-mi:sem4c_human(display_long)|uniprotkb:SEMA4C(gene name)|psi-mi:SEMA4C(display_short)|uniprotkb:KIAA1739(gene name synonym)|uniprotkb:SEMAI(gene name synonym)|uniprotkb:UNQ5855/PRO34487(orf name)	psi-mi:"MI:0397"(two hybrid array)	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-22973150|imex:IM-25472-36192	author score:0.886197799769|intact-miscore:0.56
uniprotkb:A8MQ03	uniprotkb:Q9C0C4	intact:EBI-3867333|uniprotkb:Q86UY7	intact:EBI-10303490|uniprotkb:Q32MJ3|uniprotkb:Q7Z5X0	psi-mi:crtp1_human(display_long)|uniprotkb:CYSRT1(gene name)|psi-mi:CYSRT1(display_short)|uniprotkb:C9orf169(gene name synonym)	psi-mi:sem4c_human(display_long)|uniprotkb:SEMA4C(gene name)|psi-mi:SEMA4C(display_short)|uniprotkb:KIAA1739(gene name synonym)|uniprotkb:SEMAI(gene name synonym)|uniprotkb:UNQ5855/PRO34487(orf name)	psi-mi:"MI:0397"(two hybrid array)	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-22982049|imex:IM-25472-36679	author score:0.899464232986|intact-miscore:0.56
intact:EBI-22311199	uniprotkb:Q9C0C4	-	intact:EBI-10303490|uniprotkb:Q32MJ3|uniprotkb:Q7Z5X0	psi-mi:"ccsb orf id: 100064146"(display_short)|psi-mi:EBI-22311199(display_long)	psi-mi:sem4c_human(display_long)|uniprotkb:SEMA4C(gene name)|psi-mi:SEMA4C(display_short)|uniprotkb:KIAA1739(gene name synonym)|uniprotkb:SEMAI(gene name synonym)|uniprotkb:UNQ5855/PRO34487(orf name)	psi-mi:"MI:0397"(two hybrid array)	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-22996100|imex:IM-25472-37443	author score:0.879376969071|intact-miscore:0.56
uniprotkb:P0DPK4	uniprotkb:Q9C0C4	intact:EBI-22310682	intact:EBI-10303490|uniprotkb:Q32MJ3|uniprotkb:Q7Z5X0	psi-mi:nt2nc_human(display_long)|uniprotkb:NOTCH2NLC(gene name)|psi-mi:NOTCH2NLC(display_short)	psi-mi:sem4c_human(display_long)|uniprotkb:SEMA4C(gene name)|psi-mi:SEMA4C(display_short)|uniprotkb:KIAA1739(gene name synonym)|uniprotkb:SEMAI(gene name synonym)|uniprotkb:UNQ5855/PRO34487(orf name)	psi-mi:"MI:0397"(two hybrid array)	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-22966261|imex:IM-25472-35817	author score:0.891262051344|intact-miscore:0.56
uniprotkb:O75031	uniprotkb:Q9C0C4	intact:EBI-7116203|intact:MINT-8247411|uniprotkb:B4DX36	intact:EBI-10303490|uniprotkb:Q32MJ3|uniprotkb:Q7Z5X0	psi-mi:hsf2b_human(display_long)|uniprotkb:HSF2BP(gene name)|psi-mi:HSF2BP(display_short)	psi-mi:sem4c_human(display_long)|uniprotkb:SEMA4C(gene name)|psi-mi:SEMA4C(display_short)|uniprotkb:KIAA1739(gene name synonym)|uniprotkb:SEMAI(gene name synonym)|uniprotkb:UNQ5855/PRO34487(orf name)	psi-mi:"MI:1112"(two hybrid prey pooling approach)	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-24838424|imex:IM-25472-11193	author score:0.905255365417|intact-miscore:0.56
uniprotkb:Q7Z3Y8	uniprotkb:Q9C0C4	intact:EBI-3044087	intact:EBI-10303490|uniprotkb:Q32MJ3|uniprotkb:Q7Z5X0	psi-mi:k1c27_human(display_long)|uniprotkb:KRT27(gene name)|psi-mi:KRT27(display_short)|uniprotkb:KRT25C(gene name synonym)|uniprotkb:Cytokeratin-27(gene name synonym)|uniprotkb:Keratin-25C(gene name synonym)|uniprotkb:Keratin-27(gene name synonym)|uniprotkb:Type I inner root sheath-specific keratin-K25irs3(gene name synonym)	psi-mi:sem4c_human(display_long)|uniprotkb:SEMA4C(gene name)|psi-mi:SEMA4C(display_short)|uniprotkb:KIAA1739(gene name synonym)|uniprotkb:SEMAI(gene name synonym)|uniprotkb:UNQ5855/PRO34487(orf name)	psi-mi:"MI:1112"(two hybrid prey pooling approach)	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-24839747|imex:IM-25472-11265	author score:0.886197799769|intact-miscore:0.56
uniprotkb:A8MQ03	uniprotkb:Q9C0C4	intact:EBI-3867333|uniprotkb:Q86UY7	intact:EBI-10303490|uniprotkb:Q32MJ3|uniprotkb:Q7Z5X0	psi-mi:crtp1_human(display_long)|uniprotkb:CYSRT1(gene name)|psi-mi:CYSRT1(display_short)|uniprotkb:C9orf169(gene name synonym)	psi-mi:sem4c_human(display_long)|uniprotkb:SEMA4C(gene name)|psi-mi:SEMA4C(display_short)|uniprotkb:KIAA1739(gene name synonym)|uniprotkb:SEMAI(gene name synonym)|uniprotkb:UNQ5855/PRO34487(orf name)	psi-mi:"MI:1112"(two hybrid prey pooling approach)	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-24848722|imex:IM-25472-11755	author score:0.899464232986|intact-miscore:0.56
uniprotkb:P0DPK4	uniprotkb:Q9C0C4	intact:EBI-22310682	intact:EBI-10303490|uniprotkb:Q32MJ3|uniprotkb:Q7Z5X0	psi-mi:nt2nc_human(display_long)|uniprotkb:NOTCH2NLC(gene name)|psi-mi:NOTCH2NLC(display_short)	psi-mi:sem4c_human(display_long)|uniprotkb:SEMA4C(gene name)|psi-mi:SEMA4C(display_short)|uniprotkb:KIAA1739(gene name synonym)|uniprotkb:SEMAI(gene name synonym)|uniprotkb:UNQ5855/PRO34487(orf name)	psi-mi:"MI:1112"(two hybrid prey pooling approach)	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-24832785|imex:IM-25472-10887	author score:0.891262051344|intact-miscore:0.56
intact:EBI-22311199	uniprotkb:Q9C0C4	-	intact:EBI-10303490|uniprotkb:Q32MJ3|uniprotkb:Q7Z5X0	psi-mi:"ccsb orf id: 100064146"(display_short)|psi-mi:EBI-22311199(display_long)	psi-mi:sem4c_human(display_long)|uniprotkb:SEMA4C(gene name)|psi-mi:SEMA4C(display_short)|uniprotkb:KIAA1739(gene name synonym)|uniprotkb:SEMAI(gene name synonym)|uniprotkb:UNQ5855/PRO34487(orf name)	psi-mi:"MI:1112"(two hybrid prey pooling approach)	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-24862844|imex:IM-25472-12523	author score:0.879376969071|intact-miscore:0.56
uniprotkb:O76011	uniprotkb:Q9C0C4	intact:EBI-1047093|uniprotkb:Q8IUT8|uniprotkb:Q8N4W2	intact:EBI-10303490|uniprotkb:Q32MJ3|uniprotkb:Q7Z5X0	psi-mi:krt34_human(display_long)|uniprotkb:KRTHA4(gene name synonym)|uniprotkb:Hair keratin, type I Ha4(gene name synonym)|uniprotkb:Keratin-34(gene name synonym)|uniprotkb:HKA4(gene name synonym)|uniprotkb:KRT34(gene name)|psi-mi:KRT34(display_short)|uniprotkb:HHA4(gene name synonym)	psi-mi:sem4c_human(display_long)|uniprotkb:SEMA4C(gene name)|psi-mi:SEMA4C(display_short)|uniprotkb:KIAA1739(gene name synonym)|uniprotkb:SEMAI(gene name synonym)|uniprotkb:UNQ5855/PRO34487(orf name)	psi-mi:"MI:1112"(two hybrid prey pooling approach)	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-24906339|imex:IM-25472-14892	author score:0.868053788665|intact-miscore:0.56
