#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q8K2C9	uniprotkb:Q9NYK1	intact:EBI-8329978|uniprotkb:Q6PGH3|intact:MINT-4110360|uniprotkb:Q8BGM8|intact:MINT-1858563|uniprotkb:O09003	intact:EBI-2844259|uniprotkb:Q9NR98|uniprotkb:D1CS69	psi-mi:hacd3_mouse(display_long)|uniprotkb:Hacd3(gene name)|psi-mi:Hacd3(display_short)|uniprotkb:3-hydroxyacyl-CoA dehydratase 3(gene name synonym)|uniprotkb:Butyrate-induced protein 1(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase-like A domain-containing protein 1(gene name synonym)|uniprotkb:Ptplad1(gene name synonym)	psi-mi:tlr7_human(display_long)|uniprotkb:TLR7(gene name)|psi-mi:TLR7(display_short)|uniprotkb:UNQ248/PRO285(orf name)	psi-mi:"MI:0729"(luminescence based mammalian interactome mapping)	Taipale et al. (2014)	pubmed:25036637|imex:IM-22301	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9386405|imex:IM-22301-1392	intact-miscore:0.40
uniprotkb:Q15773	uniprotkb:Q9NYK1	intact:EBI-1051875|intact:EBI-9357094	intact:EBI-2844259|uniprotkb:Q9NR98|uniprotkb:D1CS69	psi-mi:mlf2_human(display_long)|uniprotkb:Myelodysplasia-myeloid leukemia factor 2(gene name synonym)|uniprotkb:MLF2(gene name)|psi-mi:MLF2(display_short)	psi-mi:tlr7_human(display_long)|uniprotkb:TLR7(gene name)|psi-mi:TLR7(display_short)|uniprotkb:UNQ248/PRO285(orf name)	psi-mi:"MI:0729"(luminescence based mammalian interactome mapping)	Taipale et al. (2014)	pubmed:25036637|imex:IM-22301	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9386426|imex:IM-22301-1393	intact-miscore:0.40
uniprotkb:Q9NR97-2	uniprotkb:Q9NYK1	intact:EBI-16876362	intact:EBI-2844259|uniprotkb:Q9NR98|uniprotkb:D1CS69	psi-mi:q9nr97-2(display_long)|uniprotkb:TLR8(gene name)|psi-mi:TLR8(display_short)|uniprotkb:UNQ249/PRO286(orf name)	psi-mi:tlr7_human(display_long)|uniprotkb:TLR7(gene name)|psi-mi:TLR7(display_short)|uniprotkb:UNQ248/PRO285(orf name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Wang et al. (2006)	pubmed:17040905|imex:IM-26350	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16876360|imex:IM-26350-1	intact-miscore:0.40
uniprotkb:Q9NYK1	uniprotkb:Q9NYK1	intact:EBI-2844259|uniprotkb:Q9NR98|uniprotkb:D1CS69	intact:EBI-2844259|uniprotkb:Q9NR98|uniprotkb:D1CS69	psi-mi:tlr7_human(display_long)|uniprotkb:TLR7(gene name)|psi-mi:TLR7(display_short)|uniprotkb:UNQ248/PRO285(orf name)	psi-mi:tlr7_human(display_long)|uniprotkb:TLR7(gene name)|psi-mi:TLR7(display_short)|uniprotkb:UNQ248/PRO285(orf name)	psi-mi:"MI:0370"(tox-r dimerization assay)	Godfroy et al. (2011)	imex:IM-26356|pubmed:23155421	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16877669|imex:IM-26356-23	intact-miscore:0.37
uniprotkb:Q9NYK1	uniprotkb:P58340	intact:EBI-2844259|uniprotkb:Q9NR98|uniprotkb:D1CS69	intact:EBI-721328|intact:EBI-767466|uniprotkb:E9PEU9|uniprotkb:Q2TLE5|uniprotkb:Q8N8F8|uniprotkb:Q96MH1|uniprotkb:Q2TLE3	psi-mi:tlr7_human(display_long)|uniprotkb:TLR7(gene name)|psi-mi:TLR7(display_short)|uniprotkb:UNQ248/PRO285(orf name)	psi-mi:mlf1_human(display_long)|uniprotkb:Myelodysplasia-myeloid leukemia factor 1(gene name synonym)|uniprotkb:MLF1(gene name)|psi-mi:MLF1(display_short)	psi-mi:"MI:0729"(luminescence based mammalian interactome mapping)	Taipale et al. (2014)	pubmed:25036637|imex:IM-22301	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9386383|imex:IM-22301-1391	intact-miscore:0.40
uniprotkb:Q9NYK1	uniprotkb:Q13200	intact:EBI-2844259|uniprotkb:Q9NR98|uniprotkb:D1CS69	intact:EBI-357648|uniprotkb:B4DX07|uniprotkb:B4DXY1|uniprotkb:E7EW34|uniprotkb:E9PCS3|uniprotkb:Q12932|uniprotkb:Q15321|uniprotkb:Q96I12|uniprotkb:Q53XQ4	psi-mi:tlr7_human(display_long)|uniprotkb:TLR7(gene name)|psi-mi:TLR7(display_short)|uniprotkb:UNQ248/PRO285(orf name)	psi-mi:psmd2_human(display_long)|uniprotkb:26S proteasome regulatory subunit RPN1(gene name synonym)|uniprotkb:26S proteasome regulatory subunit S2(gene name synonym)|uniprotkb:26S proteasome subunit p97(gene name synonym)|uniprotkb:Tumor necrosis factor type 1 receptor-associated protein 2(gene name synonym)|uniprotkb:Protein 55.11(gene name synonym)|uniprotkb:PSMD2(gene name)|psi-mi:PSMD2(display_short)|uniprotkb:TRAP2(gene name synonym)	psi-mi:"MI:0729"(luminescence based mammalian interactome mapping)	Taipale et al. (2014)	pubmed:25036637|imex:IM-22301	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9386448|imex:IM-22301-1394	intact-miscore:0.40
uniprotkb:Q9NYK1	uniprotkb:Q9BTE6-2	intact:EBI-2844259|uniprotkb:Q9NR98|uniprotkb:D1CS69	intact:EBI-9357295	psi-mi:tlr7_human(display_long)|uniprotkb:TLR7(gene name)|psi-mi:TLR7(display_short)|uniprotkb:UNQ248/PRO285(orf name)	psi-mi:q9bte6-2(display_long)|uniprotkb:AARSD1(gene name)|psi-mi:AARSD1(display_short)|uniprotkb:Alanyl-tRNA synthetase domain-containing protein 1(gene name synonym)	psi-mi:"MI:0729"(luminescence based mammalian interactome mapping)	Taipale et al. (2014)	pubmed:25036637|imex:IM-22301	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9386470|imex:IM-22301-1395	intact-miscore:0.40
uniprotkb:Q9NYK1	uniprotkb:O15389	intact:EBI-2844259|uniprotkb:Q9NR98|uniprotkb:D1CS69	intact:EBI-750381	psi-mi:tlr7_human(display_long)|uniprotkb:TLR7(gene name)|psi-mi:TLR7(display_short)|uniprotkb:UNQ248/PRO285(orf name)	psi-mi:sigl5_human(display_long)|uniprotkb:Obesity-binding protein 2(gene name synonym)|uniprotkb:CD33 antigen-like 2(gene name synonym)|uniprotkb:SIGLEC5(gene name)|psi-mi:SIGLEC5(display_short)|uniprotkb:CD33L2(gene name synonym)|uniprotkb:OBBP2(gene name synonym)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Chen et al. (2014)	pubmed:25187624|imex:IM-26349	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16825680|imex:IM-26349-125	intact-miscore:0.40
uniprotkb:Q9NYK1	uniprotkb:Q9Y336	intact:EBI-2844259|uniprotkb:Q9NR98|uniprotkb:D1CS69	intact:EBI-12857926|uniprotkb:Q6GTU4|uniprotkb:Q9BYI9	psi-mi:tlr7_human(display_long)|uniprotkb:TLR7(gene name)|psi-mi:TLR7(display_short)|uniprotkb:UNQ248/PRO285(orf name)	psi-mi:sigl9_human(display_long)|uniprotkb:SIGLEC9(gene name)|psi-mi:SIGLEC9(display_short)|uniprotkb:CDw329(gene name synonym)|uniprotkb:Protein FOAP-9(gene name synonym)|uniprotkb:UNQ668/PRO1302(orf name)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Chen et al. (2014)	pubmed:25187624|imex:IM-26349	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16825841|imex:IM-26349-89	intact-miscore:0.40
uniprotkb:P58681	uniprotkb:P35329	intact:EBI-16826090|uniprotkb:Q923I1	intact:EBI-300059|uniprotkb:Q9JHL2|uniprotkb:Q9JJX9|uniprotkb:Q9JJY0|uniprotkb:Q9JJY1|uniprotkb:Q9R056|uniprotkb:Q9R094|uniprotkb:Q9WU51	psi-mi:tlr7_mouse(display_long)|uniprotkb:Tlr7(gene name)|psi-mi:Tlr7(display_short)	psi-mi:cd22_mouse(display_long)|uniprotkb:Siglec2(gene name synonym)|uniprotkb:Cd22(gene name)|psi-mi:Cd22(display_short)|uniprotkb:Lyb-8(gene name synonym)|uniprotkb:Sialic acid-binding Ig-like lectin 2(gene name synonym)|uniprotkb:T-cell surface antigen Leu-14(gene name synonym)|uniprotkb:B-lymphocyte cell adhesion molecule(gene name synonym)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Chen et al. (2014)	pubmed:25187624|imex:IM-26349	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16826081|imex:IM-26349-51	intact-miscore:0.40
